Summary ,Action,Data,Expected Result
Google Meet_Incoming call during playback,"While Live playback, initiate an incoming call from another device
Pick up
End the call
Open a streaming App (YT/Netflix/Prime/Disney,..) and play  video

Initiate an incoming call from another device
Pick up
End the call
Launch a bluetooth playback on a connected BT device

Initiate an incoming call from another device
Pick up
End the call",,"A notification of incoming call is displayed (popup + call ring)
Live is interrupted and the call is launched

Audio / Video are ok and synchro, no mix
Call is ended, no problem, no crash

Live is relaunched
The playback is in progress

A notification of incoming call is displayed (popup + call ring)
Playback is stopped and the call is launched

Audio / Video are ok and synchro, no mix
Call is ended, no problem, no crash

Playback is resumed
BT player is displayed an BT audio playback is in progress.

A notification of incoming call is displayed (popup + call ring)
BT playback is interrupted and the call is launched

Audio / Video are ok and synchro, no mix
Call is ended, no problem, no crash

BT playback is paused"
Google Meet_Options management during on going call,"Deactivate camera by pressing on camera widget on Google Meet interface
Activate camera by pressing again camera widget on Google Meet interface
Press on mirror mode button
Select ""Effects"" option and select one
Select and press on DUT video screen (the small screen window at the bottom right)
Call still on going call shall not be interrupted or finished)

Select and press on DUT video screen (the small screen window at the bottom right)",,"Camera deactivation button is highlighted

Call still in progress but  without DUT video (Video off)

Audio is OK, No crash , no hung up
Camera deactivation is no more highlighted

Call still in progress, Video is well displayed without any problem

Audio is OK, No crash , no hung up
Call still on going call shall not be interrupted or finished)

Mirror effect is applied on video

A/V are OK, No crash , no hung up
Call still on going call shall not be interrupted or finished)

The choosen effect is well applied

A/V are OK, No crash , no hung up
Call still on going call shall not be interrupted or finished)


The positions of the videos are swapped:
 - The DUT video is in full screen

 - The distant device video is in the small screen window at the bottom right

A/V are OK, No crash , no hung up
The positions of the videos are swapped again:
 - The DUT video is in the small screen window at the bottom right

 - The distant device video is in full screen

A/V are OK, No crash , no hung up"
Google Meet_ Check VideoCall status when a YouTube content is played and Timer is set,"Go to Youtube and Launch a movie
Say "" *OK Google, set a timer after 30s*""
Initiate a call
After 30sec the alarm is triggered during the call
Say ""*OK google stop Alarm* ""or press on Button action",,"Selected Movie is well launched

Audio and Video are correctly played
OK google reply correctly when inside an app
DUT  launch the call without any issues

and youtube video doesn't intercept
the Video call is not interrupted

No Alarm sound is heard

Only Leds are blinking
Alarm is well stoped and the videocall still launched

Audio and Video are OK"
Google Meet_Playback during call,"During the call, open Live
End the call
Initiate an incoming (or outgoing) call from another device
Open another streaming app (YT/Netflix/Prime,..) and play a video
End the call",,"Google meet is displayed in PIP mode

Live is played back with no audio

Call A/V are ok and synchro, no mix
Call is ended, no problem, no crash

Live is relaunched
Live is interrupted and the call is launched

Audio / Video are ok and synchro, no mix
Google meet is displayed in PIP mode

Video on App is played back with no audio

Call A/V are ok and synchro, no mix
Call is ended, no problem, no crash

Audio of video'sapp is restored"
Google Meet_Transitions between Google Meet and multiple applications using camera ,"When DUO is oppened, ( no call )

Try to open other application using camera (Exp: camera application)
During call

Try to open other application using camera (Exp: camera application)",,"DUT exit Google Meet application and open Camera application (showing video captured from the using camera)
Google meet video call stills displayed on PIP

The camera app can't display video"
Google Meet_PIP mode,"Open Google Meet  app then launch any other apps ( Netflix, YT )
Initiate an incoming (or outgoing) call from another device
Open another streaming app (YT/Netflix/Prime,..) and play a video",,"The App is opened on full screen

No PIP
Call in progress, Google meet app is displayed on full screen

Audio / Video are ok and synchro, no mix
Google meet is displayed in PIP mode

Video on App is played back with no audio

Call A/V are ok and synchro, no mix"
Google Meet_Group Call,"Perform an outgoig call for a group of contact
Deactivate PIP
End the call
Initiate an incoming group call then pickup",,"Call is launched.

A/V OK
Google meet call is in full screen (No PIP)
Call is ended, no problem, no crash
Call is launched.

A/V OK"
HDMI-CEC_Audio System control,"Put DUT to Standby mode using DUT RCU( press power buton )
Put DUT to Active mode using DUT RCU(press power buton )
Press volume up/volume down/ mute on DUT RCU
Enable CEC without selecting volume option

Press volume up/volume down/ mute on DUT RCU
Disconnect the amplifier

Press volume up/volume down/ mute on DUT RCU",,"DUT, TV and Audio System should switch to standby mode
DUT, TV and Audio system should turn ON
The DUT RCU controls the volume of the amplifier:
Volume bar of amplifier should appear on TV + audio volume coming from the amplifier should chang as requested
DUT RCU controls the volume of the DUT:

Volume bar of DUT should appear on TV + audio volume  should change as requested
DUT RCU controls the volume of the DUT:

Volume bar of DUT should appear on TV + audio volume  should change as requested"
HDMI-CEC_HDMI Tree_Check TV's status when DUT on standby and other HDMI Device connected to it are awake,"Put the DUT in standby mode using DUT RCU
Select the second device as the active source
Put ON the DUT by pressing power button
On TV Menu, Select the second device as the active source

Put the DUT in standby mode using DUT RCU
Select the HDMI source in which DUT is connected using TV RCU
Select the second device as the active source

Put the DUT in standby mode using DUT RCU

Put the TV is standby mode using TV RCU
Put the DUT in active mode using DUT RCU
Select the second device as the active source
Reboot the DUT
Switch between available sources then select again DUT source (using TV RCU)
Change DUT HDMI cable to another input then Select the new DUT HDMI source using TV RCU",,"DUT passes to standby mode

The TV will not turn off ; TV led is still ON  (as other HDMI device are connected to the HDMI tree)
The selected HDMI source is the one wired to the second device  (second device's content is now displayed on the TV)
DUT switchs to ON state

TV should remain ON

The selected HDMI source is the one wired to the DUT (DUT's content is now displayed on the TV)

A/V OK
DUT goes on standby mode

TV remains ON

The selected HDMI source is the one wired to the second device  (second device's content is now displayed on the TV)
DUT should turns

The selected HDMI source is the one wired to the DUT (DUT's content is now displayed on the TV)
The selected HDMI source is the one wired to the second device  (second device's content is now displayed on the TV)

DUT and TV in standby mode
DUT and TVs switch to ON state

The selected HDMI source is the one wired to the DUT (DUT's content is now displayed on the TV)

A/V OK
The selected HDMI source is the one wired to the second device  (second device's content is now displayed on the TV)
DUT reboot, TV reamains ON

The selected HDMI source is the one wired to the DUT (DUT's content is now displayed on the TV)

A/V OK
The selected HDMI source is the one wired to the DUT (DUT's content is now displayed on the TV)

A/V OK
The selected HDMI source is the one wired to the DUT (DUT's content is now displayed on the TV)

A/V OK"
HDMI-CEC_ Wakeup/Standby Management,"Press on Power button of DUT RCU
Press on Power button of DUT RCU
Press on Power button of DUT RCU

Wait until DUT enters to S2 mode
Press on Power button of DUT RCU
Put DUT on S5 mode
Long press on Power button of DUT RCU to enter to S5 mode (if implemented)
Press on Power button of DUT RCU
Press on Power button of TV RCU
Press on Power button of TV RCU
Press on Power button of TV RCU

Wait until DUT enters to S2 mode
Press on Power button of TV RCU
Press on Power Hard button on DUT (if exists)
Press on Power Hard button on DUT (if exists)",,"DUT and TV switch to standby mode
DUT and TV switch to active mode

A/V OK
DUT and TV switch to standby mode

DUT enters to S2 mode
DUT and TV switch to active mode

A/V OK
DUT enter to S5 mode and TV switchs to standby mode
DUT and TV switch to active mode

A/V OK
DUT and TV switch to standby mode
DUT and TV switch to active mode

A/V OK
DUT and TV switch to standby mode

DUT enters to S2 mode
DUT and TV switch to active mode

A/V OK
DUT and TV switch to standby mode
DUT and TV switch to active mode

A/V OK"
